Edge ID,From Junction,To Junction,From Cluster,To Cluster,From Lat,From Lon,To Lat,To Lon
115836554#5,1307592957,1307592944,3,3,40.59334815880413,17.118000125991582,40.59446416491924,17.118608127170234
115837778#0,1431505251,1431505231,3,3,40.59412539278199,17.11752208789866,40.59351766819717,17.117303793613075
116171734#0,1310623978,1431505241,3,4,40.59685333027793,17.11578381917727,40.59380557688368,17.1145946414157
116174060#5,1431505239,1310644391,4,3,40.59370411162129,17.115004797516335,40.59676199324597,17.116191593374992
116174061#0,1310598407,1431505233,3,3,40.59666313253135,17.116626427237094,40.593614476652846,17.11544274046954
116174526#5,1431505244,1310658018,4,3,40.59390599433468,17.114133402015216,40.59694954538107,17.115296548129983
116576042#4,1431505254,1309961706,1,1,40.594211972224514,17.112682822076657,40.596284634142265,17.113458905352807
116576044#0,1313935115,1431505258,1,1,40.595685611247916,17.11275487178289,40.59430186915084,17.112259532740293
116576045#3,1431505262,1309949552,1,1,40.59439613549199,17.11181889064218,40.59578127544421,17.11232655532904
116582772#0,1309963389,1431505250,3,4,40.59715255757101,17.11435376979201,40.594098869618854,17.11322224891607
116595647#0,1314073259,1431505225,1,1,40.59333529973726,17.109639448906453,40.59329880459736,17.11055693961192
116595653#1,1431505235,1314073260,1,1,40.59366750567985,17.110586145110528,40.593708178521744,17.10967173496834
116597773#2,1431505235,1314037100,1,1,40.59366750567985,17.110586145110528,40.59495954102991,17.110875304686182
116599173#0,1314085135,1314085152,2,2,40.59124432270334,17.10954392744204,40.591216540908626,17.11030509593085
116599755#0,1314097983,1433570832,2,2,40.588596333007274,17.11193967215962,40.591306102941125,17.11124495727707
130011356#0,1433298737,1310658031,2,2,40.59056017592031,17.113646549779393,40.5908180025728,17.113030294863346
130011357#1,1314093165,1314093178,2,2,40.59118080288729,17.11089514785884,40.59019072412605,17.110723623896853
-116595640#0,1314085139,1314073265,1,1,40.59279649511323,17.11054858315231,40.59285203682821,17.10915063932107
116595640#0,1314073265,1314085139,1,1,40.59285203682821,17.10915063932107,40.59279649511323,17.11054858315231
-116164918#0,1431505236,1431505290,3,3,40.593660073445626,17.11667549489309,40.59511543138819,17.11863791086909
116164918#0,1431505290,1431505236,3,3,40.59511543138819,17.11863791086909,40.593660073445626,17.11667549489309
