Edge ID,From Junction,To Junction,From Cluster,To Cluster,From Lat,From Lon,To Lat,To Lon
-1107330355#0,9602691565,9602691560,4,3,41.102616250927134,16.85374612653611,41.10176475385241,16.853820415158847
-1135075614#2,10581082543,10581082545,4,5,41.10566201118566,16.859820269865462,41.10563164422533,16.860244905669738
-1135075615#0,10581082544,10581082550,5,4,41.1061540374003,16.860263940525165,41.10638769846171,16.860068208402154
-1135075617,10581082544,2623147213,5,4,41.1061540374003,16.860263940525165,41.10618035470602,16.85987812838807
-1223054103#3,11352369095,280808617,4,3,41.10174130987348,16.85686388151352,41.10139144618753,16.856769835883647
-1223054107,280803759,5534064247,0,3,41.100540461317074,16.85921884012674,41.10064883435636,16.85805137424128
-1240423340,11524588167,11524588164,3,0,41.0977278370717,16.857469168735634,41.09770518803622,16.858314889251236
-131752094#0,1449642028,1449642005,1,0,41.09714492965923,16.865563926786283,41.097173247769184,16.865394934076992
-25586000#3,339019368,cluster_281602547_339021843_4184561944,1,0,41.09708228313231,16.867651000294053,41.09366931937928,16.866492610567914
-25654817#18,cluster_2623145611_8678368951,279658837,1,2,41.10169440391363,16.87153790743208,41.10255940602009,16.871592123455162
-25654876,2623145995,cluster_279658521_279658972,5,2,41.104418496592714,16.869487015235954,41.104557904589925,16.87075349430906
-25654904#0,1602401481,279658828,1,2,41.10292908909263,16.8704487313222,41.102822192091274,16.8716118519074
-25654915#8,cluster_279658835_279658911,cluster_11516310171_339523759,1,5,41.10229020657099,16.868433397164882,41.10266269223575,16.86843717031337
-25654958#0,1081382019,cluster_279658835_279658911,5,1,41.102340962732434,16.867325371678398,41.10229020657099,16.868433397164882
-25654964#2,2623145463,2623145446,2,1,41.100914596389124,16.876152023805176,41.100815474882005,16.874849002949496
-256677982,cluster_2623147187_2623147189,2623147178,5,2,41.10576071225167,16.867592452125674,41.10561341182965,16.87053052260826
-25748740#1,5534064251,cluster_279660399_4456255423,3,4,41.10080161001798,16.857883258034995,41.1015946123911,16.858057080901776
-25748948#3,280806249,339222023,0,5,41.10023025479429,16.86309243769674,41.100815194673004,16.863148268731265
-25756829#0,354971529,cluster_11386062342_2623145432_2623145437_2623145440_#2more,1,2,41.09987548076815,16.876551351817184,41.10075431400376,16.876342508510152
-25817299#1,281593962,1602308491,4,3,41.10357239370584,16.849347341324286,41.1020203917021,16.84882687676746
-30653669#0,7159052504,cluster_11827956859_279380856_7159052502_7159052503_#3more,4,0,41.10156919400042,16.859347530023584,41.101420469737356,16.85932035201869
-30672338#3,cluster_5440189634_652440893,1643153413,0,3,41.098971424867216,16.860710151970103,41.09908950264139,16.857675079598827
-30672338#7,cluster_12006425626_5440189642,1108920432,1,0,41.09912365954511,16.864502783276116,41.0990689369844,16.863793342061182
-30690500#0,cluster_1081382026_339386141,339386140,0,1,41.09781505323143,16.86453661298081,41.097787076642035,16.86585263194128
-48563893#1,1425219157,1425219115,0,3,41.096680848741705,16.857411087974004,41.096569662936915,16.856943942031105
-49195712,1081381968,624106162,1,5,41.1018241674843,16.86673879368494,41.10180505541959,16.866361844774776
-50308672#10,2625108800,11386062350,1,2,41.100847999935084,16.873852183479286,41.10266115156818,16.873749529674736
-50308672#13,2625108875,639177827,2,1,41.100995885353434,16.8761383815806,41.10090774135911,16.874974396037643
-51035150,650731841,650731836,1,5,41.10159216904543,16.866414402404615,41.10186587755954,16.86611588346236
-563916532#8,cluster_9602691561_9602691562,9602691564,3,4,41.101767630918054,16.853943861601405,41.102621262047634,16.85385451141836
