Episode,Reward Min,Reward Mean,Reward Max,Episode Length,Timestamp,Checkpoint
1,-14.5,-8.75,-3.0,5.162790697674419,2024-11-01 17:03:38,
2,-14.5,-8.378603945371776,-2.0,6.063732928679818,2024-11-01 17:09:44,
3,-13.0,-7.816602316602316,-2.0,7.725868725868726,2024-11-01 17:16:50,
4,-12.0,-6.579479768786127,1.5,11.557803468208093,2024-11-01 17:24:16,
5,-14.0,-5.718014705882353,4.199999999999999,14.727941176470589,2024-11-01 17:32:03,
6,-10.0,-4.674885844748858,7.5,18.22374429223744,2024-11-01 17:40:12,
7,-9.0,-3.9672619047619047,8.5,23.738095238095237,2024-11-01 17:51:26,
8,-10.5,-3.1398496240601506,14.5,30.18796992481203,2024-11-01 18:01:23,
9,-10.5,-2.113,19.5,40.3,2024-11-01 18:15:08,
10,-9.8,1.264,22.5,50.66,2024-11-01 18:31:04,
11,-9.0,1.2919999999999998,25.5,51.21,2024-11-01 18:45:55,
12,-11.5,3.727,30.7,58.38,2024-11-01 18:59:46,
13,-11.5,8.841000000000001,30.7,76.58,2024-11-01 19:11:42,
14,-9.0,13.609000000000002,31.5,91.34,2024-11-01 19:28:40,
15,-9.0,15.503,31.5,95.19,2024-11-01 19:45:38,
16,-9.0,17.357,31.5,99.52,2024-11-01 20:03:31,
17,-9.0,20.105,29.7,108.06,2024-11-01 20:17:07,
18,-6.0,21.849,29.5,112.3,2024-11-01 20:29:02,
19,-6.0,23.737999999999996,29.5,116.85,2024-11-01 20:44:26,
20,-9.0,24.499000000000002,30.7,117.19,2024-11-01 21:01:54,
21,-9.0,16.158,30.7,93.69,2024-11-01 21:17:53,
22,-5.0,2.891,28.5,47.22,2024-11-01 21:33:43,
23,-9.0,6.350999999999999,33.5,54.96,2024-11-01 21:49:42,
24,-9.0,13.968,33.5,76.87,2024-11-01 22:05:53,
25,-9.0,14.367,33.5,77.03,2024-11-01 22:22:03,
26,-11.8,9.914,34.5,64.58,2024-11-01 22:38:00,
27,-12.5,9.509,35.5,62.46,2024-11-01 22:54:22,
28,-12.5,12.565,34.7,69.85,2024-11-01 23:11:54,
29,-9.0,16.2,33.5,80.43,2024-11-01 23:28:22,
30,-9.0,17.597,34.5,84.17,2024-11-01 23:44:34,
31,-9.5,20.888,35.5,92.99,2024-11-02 00:02:21,
32,-9.5,22.353,35.5,98.38,2024-11-02 00:18:37,
33,-9.0,22.645,34.7,102.09,2024-11-02 00:35:01,
34,-9.5,21.697,34.7,102.23,2024-11-02 00:51:28,
35,-9.5,19.084,34.5,97.1,2024-11-02 01:07:19,
36,-9.0,4.865,32.5,51.0,2024-11-02 01:23:19,
37,-11.5,2.25,33.5,38.990196078431374,2024-11-02 01:39:01,
38,-11.5,2.9819999999999998,32.5,45.57,2024-11-02 01:53:47,
39,-11.5,6.04,33.5,52.13,2024-11-02 02:09:35,
40,-10.5,7.355,32.5,54.51,2024-11-02 02:25:36,
41,-11.5,7.57,33.5,55.81,2024-11-02 02:41:43,
42,-11.5,10.915,35.5,65.3,2024-11-02 02:57:54,
43,-10.5,14.85,35.5,76.52,2024-11-02 03:15:46,
44,-10.5,17.37,35.5,82.04,2024-11-02 03:34:37,
45,-10.5,17.217,35.7,79.74,2024-11-02 03:50:22,
46,-10.5,17.618,35.7,80.3,2024-11-02 04:07:57,
47,-10.5,19.061,35.5,84.47,2024-11-02 04:23:43,
48,-9.0,22.22,35.5,93.43,2024-11-02 04:40:06,
49,-9.0,20.902272727272727,35.5,89.6590909090909,2024-11-02 11:01:09,algorithm_state.pkl
50,-9.0,23.809876543209874,35.5,98.09876543209876,2024-11-02 11:20:21,algorithm_state.pkl
51,-9.0,24.865,35.5,100.84,2024-11-02 11:54:12,algorithm_state.pkl
52,-9.0,20.383,35.5,99.24,2024-11-02 12:13:53,algorithm_state.pkl
53,-10.5,4.752999999999999,32.5,56.89,2024-11-02 12:30:45,algorithm_state.pkl
54,-9.0,1.8219999999999998,28.5,44.55,2024-11-02 12:48:02,algorithm_state.pkl
55,-10.5,2.612,29.5,46.46,2024-11-02 13:04:23,algorithm_state.pkl
