Edge ID,From Junction,To Junction,From Cluster,To Cluster,From Lat,From Lon,To Lat,To Lon
-100133109,4172354442,1157490537,4,4,41.10997719495976,16.851282906006453,41.10849296955597,16.850295263587427
-100133110,1643153429,1157490490,4,4,41.108616682416226,16.848851185347232,41.10865335022214,16.84928272888252
-1004456239,10581082536,1534130002,4,4,41.10576336021789,16.859183282082483,41.10584191104977,16.858909457028208
-101285963,1169030013,1169030029,5,5,41.105837486255425,16.86631802703373,41.10620642589613,16.86647947847176
-101285965,cluster_1169029993_1483768311,1169030025,5,5,41.10577660151785,16.86710131625951,41.10583617800443,16.867154568563848
-101285967#1,1517927663,cluster_330277670_330277673,5,5,41.105968453827124,16.86463297548126,41.105939743870515,16.86510993658547
-101285967#2,cluster_279659576_279660152,1517927663,5,5,41.10612889202781,16.86305676165556,41.105968453827124,16.86463297548126
-101510617#0,9158375801,339016184,1,1,41.09776829482978,16.873684729515283,41.09679165029085,16.873699474994087
-101510617#1,cluster_1172121491_9158375785,9158375801,1,1,41.09818187547766,16.873676125156976,41.09776829482978,16.873684729515283
-101510617#3,1172121506,cluster_1172121491_9158375785,1,1,41.09865330058037,16.8736720229137,41.09818187547766,16.873676125156976
-101510617#4,2625108601,1172121506,1,1,41.10046368308683,16.873667643457605,41.09865330058037,16.8736720229137
-101510617#5,330277668,2625108601,1,1,41.10054233377843,16.873666664393717,41.10046368308683,16.873667643457605
-1028425248,9481476426,9481407913,0,0,41.093263275982714,16.856459442663375,41.091941058052434,16.857510782691392
-1028425251,9481476497,9481476430,0,0,41.09307317546855,16.8566912626487,41.09157339087948,16.856973463025273
-103484177#0,672296067,1194804000,0,0,41.0949522865867,16.860382498303526,41.09462489925732,16.859705538305093
-103484177#1,1194803972,672296067,0,0,41.09478160779541,16.860247899469833,41.0949522865867,16.860382498303526
-103484177#2,1194803991,1194803972,0,0,41.094285253669945,16.8598769353999,41.09478160779541,16.860247899469833
-103484184,1194803981,1194803953,0,0,41.09429133187167,16.861006320314715,41.09449766996034,16.860901771781275
-103484187#0,1194803981,1194803995,0,0,41.09429133187167,16.861006320314715,41.09429743413848,16.86082932370642
-103484187#1,1194803969,1194803981,0,0,41.09426709378737,16.861491778651338,41.09429133187167,16.861006320314715
-103484187#2,1194804022,1194803969,0,0,41.09431564287748,16.86149183988163,41.09426709378737,16.861491778651338
-103484189,672296068,672296067,0,0,41.094929177727025,16.86079822081015,41.0949522865867,16.860382498303526
-1036115366,1425279636,9594431309,4,4,41.10847430908671,16.854815427187223,41.10840610922272,16.854245682920684
-1036115567,1425279636,9546068345,4,4,41.10847430908671,16.854815427187223,41.10777847771391,16.854927790318367
-1042247910#0,9594431304,9594431306,4,4,41.10839875374276,16.854176641512204,41.108246554048044,16.854012777294734
-1042247910#1,9594431309,9594431304,4,4,41.10840610922272,16.854245682920684,41.10839875374276,16.854176641512204
-1042247910#2,9594431308,9594431309,4,4,41.10824900823746,16.854526125973774,41.10840610922272,16.854245682920684
-1043372469#0,cluster_9602691561_9602691562,9602691560,3,3,41.101767630918054,16.853943861601405,41.10176475385241,16.853820415158847
-1053386563#0,339214782,cluster_11382521003_281616421,3,3,41.093541690791554,16.854396406585817,41.09340647192865,16.85433033266518
-1053386563#1,339209347,339214782,3,3,41.09410258065408,16.854547680343014,41.093541690791554,16.854396406585817
-1055324690,cluster_1425219176_9697168854,9697168852,0,0,41.09510782615108,16.858949873370666,41.09520440272877,16.859222283115336
-1055324691,cluster_1425219176_9697168854,9697168853,0,0,41.09510782615108,16.858949873370666,41.09508139325486,16.85902497333644
-1070589230#0,1784570436,1784570435,2,2,41.10507937819721,16.873981674845048,41.105084583084384,16.873861071189832
-1070589230#1,1784570437,1784570436,2,2,41.105071749758,16.87415710749245,41.10507937819721,16.873981674845048
-1070589230#2,1784570450,1784570437,2,2,41.10506394579049,16.874337774819953,41.105071749758,16.87415710749245
-1070589230#3,1784570445,1784570450,2,2,41.10505593435442,16.874520103382363,41.10506394579049,16.874337774819953
-1070589230#4,1784570439,1784570445,2,2,41.10504839900478,16.87469530037713,41.10505593435442,16.874520103382363
-1070589231#0,1784570432,1784570438,2,2,41.10591310689438,16.87416972425345,41.10587398238915,16.87400010488015
-1070589231#1,1784570451,1784570432,2,2,41.10591098256587,16.874361154095546,41.10591310689438,16.87416972425345
-1070589231#2,1784570442,1784570451,2,2,41.10590909141266,16.87453270319743,41.10591098256587,16.874361154095546
-1070589231#3,1784570441,1784570442,2,2,41.10590699463406,16.87471686955016,41.10590909141266,16.87453270319743
-1083740672#0,9931402549,5104398667,4,4,41.10675437965802,16.850108776399637,41.10571783447443,16.85051624188231
-1083740672#1,9931402553,9931402549,4,4,41.10690560111628,16.850092777438586,41.10675437965802,16.850108776399637
-1083740672#2,9931402551,9931402553,4,4,41.10703453836845,16.850079010845086,41.10690560111628,16.850092777438586
-1083740672#3,9931402540,9931402551,4,4,41.107070890568615,16.848594762085483,41.10703453836845,16.850079010845086
-1083740672#4,7457569726,9931402540,4,4,41.1069737608908,16.8478332074144,41.107070890568615,16.848594762085483
-1083740673#0,9931402550,9931402540,4,4,41.1069461045373,16.84860805261573,41.107070890568615,16.848594762085483
-1083740673#1,9931402552,9931402550,4,4,41.106807062604815,16.84862284855506,41.1069461045373,16.84860805261573
-1083740673#2,9931402549,9931402552,4,4,41.10675437965802,16.850108776399637,41.106807062604815,16.84862284855506
-1083740674,9931402551,9931402550,4,4,41.10703453836845,16.850079010845086,41.1069461045373,16.84860805261573
-1083740675,9931402553,9931402552,4,4,41.10690560111628,16.850092777438586,41.106807062604815,16.84862284855506
-108455941#0,1244390548,1244390552,4,4,41.10751855076415,16.855239274312098,41.10739098304517,16.85523508700654
