lengthInMeters,travelTimeInSeconds,departureTime,noTrafficTravelTimeInSeconds,historicTrafficTravelTimeInSeconds,liveTrafficIncidentsTravelTimeInSeconds
778,60,2024-07-05T00:00:00+02:00,60,60,60
778,60,2024-07-05T00:30:00+02:00,60,60,60
778,60,2024-07-05T01:00:00+02:00,60,60,60
778,60,2024-07-05T01:30:00+02:00,60,60,60
778,60,2024-07-05T02:00:00+02:00,60,60,60
778,60,2024-07-05T02:30:00+02:00,60,60,60
778,60,2024-07-05T03:00:00+02:00,60,60,60
778,60,2024-07-05T03:30:00+02:00,60,60,60
778,60,2024-07-05T04:00:00+02:00,60,60,60
778,60,2024-07-05T04:30:00+02:00,60,60,60
778,61,2024-07-05T05:00:00+02:00,60,61,61
778,61,2024-07-05T05:30:00+02:00,60,61,61
778,63,2024-07-05T06:00:00+02:00,60,63,63
778,70,2024-07-05T06:30:00+02:00,60,70,70
778,80,2024-07-05T07:00:00+02:00,60,80,80
778,96,2024-07-05T07:30:00+02:00,60,96,96
778,108,2024-07-05T08:00:00+02:00,60,108,108
778,109,2024-07-05T08:30:00+02:00,60,109,109
778,103,2024-07-05T09:00:00+02:00,60,103,103
778,99,2024-07-05T09:30:00+02:00,60,99,99
778,95,2024-07-05T10:00:00+02:00,60,95,95
778,94,2024-07-05T10:30:00+02:00,60,94,94
778,93,2024-07-05T11:00:00+02:00,60,93,93
778,93,2024-07-05T11:30:00+02:00,60,93,93
778,92,2024-07-05T12:00:00+02:00,60,92,92
778,90,2024-07-05T12:30:00+02:00,60,90,90
778,89,2024-07-05T13:00:00+02:00,60,89,89
778,88,2024-07-05T13:30:00+02:00,60,88,88
778,87,2024-07-05T14:00:00+02:00,60,87,87
778,87,2024-07-05T14:30:00+02:00,60,87,87
778,87,2024-07-05T15:00:00+02:00,60,87,87
778,88,2024-07-05T15:30:00+02:00,60,88,88
778,91,2024-07-05T16:00:00+02:00,60,91,91
778,95,2024-07-05T16:30:00+02:00,60,95,95
778,98,2024-07-05T17:00:00+02:00,60,98,98
778,101,2024-07-05T17:30:00+02:00,60,101,101
778,102,2024-07-05T18:00:00+02:00,60,102,102
778,100,2024-07-05T18:30:00+02:00,60,100,100
778,97,2024-07-05T19:00:00+02:00,60,97,97
778,92,2024-07-05T19:30:00+02:00,60,92,92
778,86,2024-07-05T20:00:00+02:00,60,86,86
778,80,2024-07-05T20:30:00+02:00,60,80,80
778,73,2024-07-05T21:00:00+02:00,60,73,73
778,65,2024-07-05T21:30:00+02:00,60,65,65
778,60,2024-07-05T22:00:00+02:00,60,60,60
778,60,2024-07-05T22:30:00+02:00,60,60,60
778,60,2024-07-05T23:00:00+02:00,60,60,60
778,60,2024-07-05T23:30:00+02:00,60,60,60
