|---------|------------|--------------------|--------------------|--------------------|------------|
| Episode | Reward Min | Reward Mean        | Reward Max         | Episode Length     | Checkpoint |
|---------|------------|--------------------|--------------------|--------------------|------------|
|       2 |      -51.8 |  2.482286634460547 | 198.20000000000002 |  3.218196457326892 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|       3 |      -51.8 |  7.618589743589744 | 197.29999999999993 | 4.2756410256410255 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|       4 |      -50.6 |  24.66560283687943 |  494.9999999999996 |  7.092198581560283 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|       5 |      -50.9 |   43.1026178010471 |              628.9 | 10.460732984293193 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|       6 |      -52.1 | 58.858802816901374 |  608.3000000000002 | 14.102112676056338 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|       7 |      -50.6 |  61.43310344827583 |              598.0 | 13.772413793103448 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|       8 |      -51.2 |  63.81931818181817 |  618.5999999999999 | 15.075757575757576 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|       9 |      -50.3 | 62.961678832116746 |  639.2000000000002 | 14.507299270072993 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|      10 |      -50.9 |  84.27578475336321 |  731.9000000000002 | 17.986547085201792 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|      11 |      -50.6 |   97.2171122994652 |              628.9 |   21.3048128342246 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|      12 |      -50.9 | 116.75283018867918 |              628.9 |  24.89937106918239 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|      13 |      -50.3 |  97.59381443298963 |  618.6000000000001 |  21.04123711340206 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|      14 |      -50.0 |  130.2753333333333 |              690.7 | 26.253333333333334 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|
|      15 |      -50.3 |  141.5424460431654 |  649.5000000000002 | 29.028776978417266 |            |
|---------|------------|--------------------|--------------------|--------------------|------------|

    #Best route
    REWARD_DISTANCE_LESS = 10
    REWARD_DISTANCE_MORE = -0.3
    TRUNCATE_EPISODE_VALUE= 100
    REWARD_ARRIVING= 5
    REWARD_CURVE = 0
