|---------|---------------------|---------------------|--------------------|--------------------|------------|
| Episode | Reward Min          | Reward Mean         | Reward Max         | Episode Length     | Checkpoint |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|       2 |               -50.4 | -10.013699753896637 |  4.700000000000005 |  3.277276456111567 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|       3 |               -50.5 |  -9.318144329896906 |  6.600000000000001 |  4.125773195876289 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|       4 |               -50.4 |   -8.24250720461095 | 30.599999999999973 |  5.707492795389049 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|       5 |               -50.4 |   -6.25784543325527 |  58.29999999999993 |   9.38407494145199 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|       6 |               -50.1 |  -4.344000000000002 |  69.30000000000001 | 13.253333333333334 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|       7 |               -50.2 | -2.8141762452107324 |  65.99999999999997 | 15.157088122605364 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|       8 |               -50.1 | -1.0586046511627967 |  68.19999999999997 | 18.706976744186047 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|       9 |               -50.0 |  0.7287878787878728 |  78.10000000000002 | 20.555555555555557 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      10 |               -50.2 | -0.7342723004694891 |               77.0 |   18.6056338028169 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      11 |               -50.2 |   5.445864661654125 |  74.80000000000001 |  30.43609022556391 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      12 |               -50.0 | 0.27076923076922355 |  77.00000000000001 | 20.512820512820515 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      13 |               -50.1 |   0.686631016042774 |  88.00000000000003 | 20.962566844919785 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      14 |               -50.3 | -0.7809756097561051 |  70.39999999999998 | 19.380487804878047 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      15 |               -50.0 |    3.22945205479451 |  69.29999999999997 | 27.410958904109588 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      16 |               -50.0 |   4.702614379084959 |  90.20000000000002 |  26.81045751633987 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      17 |               -50.1 |   4.108641975308636 |  85.80000000000001 | 24.709876543209877 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      18 |               -50.2 |  7.4119047619047524 |  83.60000000000002 |  31.50793650793651 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      19 |               -50.1 |  11.196999999999985 |  80.30000000000001 |              40.25 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
|      20 |               -50.0 |   8.725225225225213 |  74.79999999999998 | 35.108108108108105 |            |
|---------|---------------------|---------------------|--------------------|--------------------|------------|
